state,municipality,cvegeo,municipality_name_inegi,state_name_inegi
Aguascalientes,Aguascalientes,01001,NA,NA
Aguascalientes,Asientos,01002,NA,NA
Aguascalientes,Calvillo,01003,NA,NA
Aguascalientes,Cosío,01004,NA,NA
Aguascalientes,El Llano,01010,NA,NA
Aguascalientes,Jesús María,01005,NA,NA
Aguascalientes,Pabellón de Arteaga,01006,NA,NA
Aguascalientes,Rincón de Romos,01007,NA,NA
Aguascalientes,San Francisco de los Romo,01011,NA,NA
Aguascalientes,San José de Gracia,01008,NA,NA
Aguascalientes,Tepezalá,01009,NA,NA
Baja California,Ensenada,02001,NA,NA
Baja California,Mexicali,02002,NA,NA
Baja California,Playas de Rosarito,02005,NA,NA
Baja California,Tecate,02003,NA,NA
Baja California,Tijuana,02004,NA,NA
Baja California Sur,Comondú,03001,NA,NA
Baja California Sur,La Paz,03003,NA,NA
Baja California Sur,Loreto,03009,NA,NA
Baja California Sur,Los Cabos,03008,NA,NA
Baja California Sur,Mulegé,03002,NA,NA
Campeche,Calakmul,04010,NA,NA
Campeche,Calkiní,04001,NA,NA
Campeche,Campeche,04002,NA,NA
Campeche,Candelaria,04011,NA,NA
Campeche,Carmen,04003,NA,NA
Campeche,Champotón,04004,NA,NA
Campeche,Escárcega,04009,NA,NA
Campeche,Hecelchakán,04005,NA,NA
Campeche,Hopelchén,04006,NA,NA
Campeche,Palizada,04007,NA,NA
Campeche,Tenabo,04008,NA,NA
Coahuila,Abasolo,05001,NA,Coahuila de Zaragoza
Coahuila,Acuña,05002,NA,Coahuila de Zaragoza
Coahuila,Allende,05003,NA,Coahuila de Zaragoza
Coahuila,Arteaga,05004,NA,Coahuila de Zaragoza
Coahuila,Candela,05005,NA,Coahuila de Zaragoza
Coahuila,Castaños,05006,NA,Coahuila de Zaragoza
Coahuila,Cuatro Ciénegas,05007,NA,Coahuila de Zaragoza
Coahuila,Escobedo,05008,NA,Coahuila de Zaragoza
Coahuila,Francisco I. Madero,05009,NA,Coahuila de Zaragoza
Coahuila,Frontera,05010,NA,Coahuila de Zaragoza
Coahuila,General Cepeda,05011,NA,Coahuila de Zaragoza
Coahuila,Guerrero,05012,NA,Coahuila de Zaragoza
Coahuila,Hidalgo,05013,NA,Coahuila de Zaragoza
Coahuila,Jiménez,05014,NA,Coahuila de Zaragoza
Coahuila,Juárez,05015,NA,Coahuila de Zaragoza
Coahuila,Lamadrid,05016,NA,Coahuila de Zaragoza
Coahuila,Matamoros,05017,NA,Coahuila de Zaragoza
Coahuila,Monclova,05018,NA,Coahuila de Zaragoza
Coahuila,Morelos,05019,NA,Coahuila de Zaragoza
Coahuila,Múzquiz,05020,NA,Coahuila de Zaragoza
Coahuila,Nadadores,05021,NA,Coahuila de Zaragoza
Coahuila,Nava,05022,NA,Coahuila de Zaragoza
Coahuila,Ocampo,05023,NA,Coahuila de Zaragoza
Coahuila,Parras,05024,NA,Coahuila de Zaragoza
Coahuila,Piedras Negras,05025,NA,Coahuila de Zaragoza
Coahuila,Progreso,05026,NA,Coahuila de Zaragoza
Coahuila,Ramos Arizpe,05027,NA,Coahuila de Zaragoza
Coahuila,Sabinas,05028,NA,Coahuila de Zaragoza
Coahuila,Sacramento,05029,NA,Coahuila de Zaragoza
Coahuila,Saltillo,05030,NA,Coahuila de Zaragoza
Coahuila,San Buenaventura,05031,NA,Coahuila de Zaragoza
Coahuila,San Juan de Sabinas,05032,NA,Coahuila de Zaragoza
Coahuila,San Pedro,05033,NA,Coahuila de Zaragoza
Coahuila,Sierra Mojada,05034,NA,Coahuila de Zaragoza
Coahuila,Torreón,05035,NA,Coahuila de Zaragoza
Coahuila,Viesca,05036,NA,Coahuila de Zaragoza
Coahuila,Villa Unión,05037,NA,Coahuila de Zaragoza
